City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
232,Shimoda,JP,34.6667,138.95,73.17,83,95,3.44,overcast clouds
233,Coihaique,CL,-45.5752,-72.0662,44.55,81,75,6.91,light rain
234,Krasnoye,UA,49.9145,24.6134,56.55,92,29,3.91,scattered clouds
235,Freeport,US,40.6576,-73.5832,93.78,62,1,1.01,clear sky
236,Mandurah,AU,-32.55,115.7,47.16,76,13,10.11,few clouds
237,Faya,SA,18.3851,42.4509,68.52,48,6,2.75,clear sky
238,Te Anau,NZ,-45.4167,167.7167,42.51,84,12,1.21,few clouds
239,Nioro,GM,13.35,-15.75,78.94,67,0,12.86,clear sky
240,Khani,GE,41.9563,42.9566,44.17,94,83,3.04,broken clouds
241,Huarmey,PE,-10.0681,-78.1522,66.34,81,96,8.41,overcast clouds
242,Guadalupe Y Calvo,MX,26.1,-106.9667,76.17,24,19,14.38,few clouds
243,Turbat,PK,26.0023,63.044,81.1,75,0,2.77,clear sky
244,Prince Rupert,CA,54.3161,-130.3201,51.89,76,90,5.75,light rain
245,Ljubinje,BA,42.9508,18.0886,63.23,82,99,3.76,overcast clouds
246,Yar-Sale,RU,66.8333,70.8333,35.08,86,61,9.31,broken clouds
247,Oum Hadjer,TD,13.2954,19.6966,92.23,32,76,7.43,broken clouds
248,Ponta Delgada,PT,37.7333,-25.6667,65.12,88,20,6.91,few clouds
249,Kathmandu,NP,27.7167,85.3167,71.82,88,75,2.3,broken clouds
250,Jieshi,CN,22.8134,115.8257,77.27,80,20,16.91,few clouds
251,Ekuvukeni,ZA,-28.4675,30.1551,44.64,84,0,4.03,clear sky
252,Ewa Beach,US,21.3156,-158.0072,84.15,53,40,18.01,scattered clouds
253,Huangchuan,CN,32.1272,115.0394,75.16,63,100,6.58,overcast clouds
254,Genhe,CN,50.7833,121.5167,64.13,46,4,1.83,clear sky
255,Byron Bay,AU,-28.65,153.6167,67.05,75,11,5.91,few clouds
256,Egvekinot,RU,66.3167,-179.1667,38.5,59,8,1.21,clear sky
257,Dniprovka,UA,47.4295,34.618,59.14,85,55,5.08,broken clouds
258,Seoul,KR,37.5683,126.9778,70.21,73,75,5.88,broken clouds
259,Puerto Parra,CO,6.6515,-74.0573,79.45,86,95,3.94,overcast clouds
260,Clyde River,CA,70.4692,-68.5914,34.03,93,90,11.5,overcast clouds
261,Santo Tomas,PH,14.1079,121.1414,83.57,80,100,1.01,overcast clouds
262,Cascais,PT,38.6979,-9.4215,62.26,70,0,20.0,clear sky
263,Farsund,NO,58.0948,6.8047,56.95,86,73,12.62,broken clouds
264,Tura,IN,25.5198,90.2201,71.94,98,82,7.47,broken clouds
265,Nova Olinda Do Norte,BR,-3.8881,-59.0942,79.86,76,99,2.48,overcast clouds
266,Sharan,RU,54.8167,54.0,54.5,79,2,2.19,clear sky
267,Namibe,AO,-15.1961,12.1522,74.14,50,41,9.26,scattered clouds
268,Constitucion,CL,-35.3333,-72.4167,51.93,72,100,8.99,overcast clouds
269,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,76.32,84,24,8.86,few clouds
270,Hamilton,US,39.1834,-84.5333,83.03,88,91,8.55,overcast clouds
271,Ulladulla,AU,-35.35,150.4667,59.88,69,100,5.84,overcast clouds
272,Beringovskiy,RU,63.05,179.3167,34.68,99,100,4.63,light rain
273,Padang,ID,-0.9492,100.3543,75.6,78,78,3.83,broken clouds
274,Punta Alta,AR,-38.8759,-62.0736,51.93,47,100,10.25,overcast clouds
275,Hobyo,SO,5.3505,48.5268,78.37,89,25,23.31,scattered clouds
276,Warkworth,NZ,-36.4,174.6667,60.49,90,100,25.88,moderate rain
277,Tynda,RU,55.1667,124.7167,69.51,45,45,3.44,scattered clouds
278,Umea,SE,63.8284,20.2597,53.91,93,0,2.3,clear sky
279,Kloulklubed,PW,7.0419,134.2556,77.5,81,100,7.02,moderate rain
280,Bad Goisern,AT,47.6425,13.6161,61.65,100,100,1.92,overcast clouds
281,Mehamn,NO,71.0357,27.8492,39.74,69,5,1.95,clear sky
282,Rocha,UY,-34.4833,-54.3333,46.24,91,43,3.78,scattered clouds
283,Saint Stephen,GB,50.3333,-4.9,56.03,87,75,3.94,broken clouds
284,Touros,BR,-5.1989,-35.4608,76.1,86,12,12.84,few clouds
285,Taoudenni,ML,22.6783,-3.9836,102.69,8,91,6.13,overcast clouds
286,Baihar,IN,22.1,80.55,78.06,65,8,3.11,clear sky
287,Sidi Ali,DZ,36.0998,0.4206,67.46,67,0,5.5,clear sky
288,Kimbe,PG,-5.5502,150.1429,81.86,76,83,0.87,broken clouds
289,Liverpool,GB,53.4106,-2.9779,60.13,81,40,3.62,scattered clouds
290,Barcelona,ES,41.3888,2.159,68.97,78,20,1.01,few clouds
291,Pouembout,NC,-21.1333,164.9,73.58,53,94,8.81,overcast clouds
292,Floro,NO,61.5996,5.0328,53.56,87,5,9.22,clear sky
293,Coronado,US,32.6859,-117.1831,79.95,69,40,9.22,scattered clouds
294,Wuwei,CN,37.9281,102.6414,61.9,51,90,3.89,overcast clouds
295,Naze,JP,28.3667,129.4833,69.19,94,100,3.4,light rain
296,Mahebourg,MU,-20.4081,57.7,71.26,83,38,14.18,light rain
297,Maneadero,MX,31.7167,-116.5667,68.18,73,16,8.01,few clouds
298,Watsa,CD,3.0372,29.5355,61.2,96,68,2.64,broken clouds
299,Yarim,YE,14.298,44.3779,61.52,60,2,3.36,clear sky
300,Duncan,US,34.5023,-97.9578,84.42,64,75,11.5,broken clouds
301,Deputatskiy,RU,69.3,139.9,43.63,57,7,4.68,clear sky
302,Kokkola,FI,63.8385,23.1307,52.03,98,0,5.14,clear sky
303,Wajir,KE,1.7471,40.0573,76.06,67,15,20.07,few clouds
304,Haapsalu,EE,58.9431,23.5414,55.02,82,12,6.4,few clouds
305,Camacha,PT,33.0833,-16.3333,63.36,77,40,8.05,scattered clouds
306,Henties Bay,NA,-22.116,14.2845,68.56,44,0,3.36,clear sky
307,Keuruu,FI,62.2667,24.7,60.98,81,66,1.54,broken clouds
308,Novoseleznevo,RU,55.6821,69.2056,53.49,66,0,6.31,clear sky
309,Batemans Bay,AU,-35.7167,150.1833,55.9,69,100,4.18,overcast clouds
310,Broome,US,42.2506,-75.833,86.58,52,1,3.47,clear sky
311,Rio Gallegos,AR,-51.6226,-69.2181,39.25,81,40,6.91,scattered clouds
312,Hokitika,NZ,-42.7167,170.9667,53.74,84,100,7.9,overcast clouds
313,Maniitsoq,GL,65.4167,-52.9,40.24,90,100,8.19,overcast clouds
314,Christchurch,NZ,-43.5333,172.6333,51.03,97,90,3.0,light rain
315,Dubbo,AU,-32.25,148.6167,44.73,100,41,6.91,scattered clouds
316,Sept-Iles,CA,50.2001,-66.3821,51.82,65,77,3.11,broken clouds
317,Goderich,CA,43.7501,-81.7165,67.75,75,27,10.92,scattered clouds
318,Toktogul,KG,41.8708,72.9402,60.73,83,96,1.52,light rain
319,Pinega,RU,64.7001,43.3936,35.35,76,16,7.31,few clouds
320,Nouadhibou,MR,20.931,-17.0347,66.63,82,94,23.09,overcast clouds
321,Vanimo,PG,-2.6741,141.3028,78.62,89,100,7.09,overcast clouds
322,Valleyview,CA,55.0667,-117.2859,61.93,40,53,9.84,broken clouds
